acct_name,this_year_amt,this_year_percent,last_year_amt,last_year_percent,report_name,company_id,company_name,creation_date,seq,stock
流動資產,,,,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,1,1104
現金及約當現金,"1,136,975",3.98,"840,325",2.99,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,2,1104
透過損益按公允價值衡量之金融資產－流動,"14,619",0.05,"57,577",0.20,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,3,1104
透過其他綜合損益按公允價值衡量之金融資產－流動,"2,869,282",10.04,"2,392,367",8.50,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,4,1104
按攤銷後成本衡量之金融資產－流動,"131,334",0.46,"102,367",0.36,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,5,1104
應收票據淨額,"536,726",1.88,"457,621",1.63,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,6,1104
應收帳款淨額,"1,401,711",4.91,"1,397,506",4.97,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,7,1104
應收帳款－關係人淨額,"38,814",0.14,"35,932",0.13,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,8,1104
其他應收款淨額,991,0.00,"7,041",0.03,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,9,1104
本期所得稅資產,397,0.00,10,0.00,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,10,1104
存貨,"468,198",1.64,"427,867",1.52,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,11,1104
預付款項,"29,468",0.10,"20,793",0.07,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,12,1104
其他流動資產,"6,518",0.02,"15,681",0.06,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,13,1104
流動資產合計,"6,635,033",23.22,"5,755,087",20.46,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,14,1104
非流動資產,,,,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,15,1104
透過損益按公允價值衡量之金融資產－非流動,"45,709",0.16,"43,733",0.16,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,16,1104
透過其他綜合損益按公允價值衡量之金融資產－非流動,"2,149,053",7.52,"2,523,482",8.97,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,17,1104
按攤銷後成本衡量之金融資產－非流動,"12,683",0.04,"11,344",0.04,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,18,1104
採用權益法之投資,"11,233,119",39.31,"10,717,055",38.09,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,19,1104
不動產、廠房及設備,"7,380,821",25.83,"7,911,908",28.12,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,20,1104
使用權資產,"209,063",0.73,"251,796",0.89,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,21,1104
投資性不動產淨額,"840,426",2.94,"841,586",2.99,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,22,1104
無形資產,"10,568",0.04,"11,446",0.04,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,23,1104
遞延所得稅資產,"15,969",0.06,"13,921",0.05,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,24,1104
其他非流動資產,"41,015",0.14,"53,500",0.19,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,25,1104
非流動資產合計,"21,938,426",76.78,"22,379,771",79.54,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,26,1104
資產總額,"28,573,459",100.00,"28,134,858",100.00,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,27,1104
流動負債,,,,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,28,1104
短期借款,"1,900,000",6.65,"2,201,000",7.82,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,29,1104
應付短期票券,"169,827",0.59,"748,508",2.66,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,30,1104
合約負債－流動,"3,689",0.01,"1,890",0.01,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,31,1104
應付票據,"211,896",0.74,"92,510",0.33,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,32,1104
應付帳款,"602,817",2.11,"694,029",2.47,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,33,1104
應付帳款－關係人,"32,169",0.11,"26,091",0.09,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,34,1104
其他應付款,"347,988",1.22,"267,392",0.95,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,35,1104
本期所得稅負債,"253,785",0.89,"149,387",0.53,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,36,1104
租賃負債－流動,"53,785",0.19,"51,183",0.18,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,37,1104
其他流動負債,"31,885",0.11,"306,167",1.09,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,38,1104
流動負債合計,"3,607,841",12.63,"4,538,157",16.13,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,39,1104
非流動負債,,,,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,40,1104
遞延所得稅負債,"1,245,176",4.36,"1,305,060",4.64,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,41,1104
租賃負債－非流動,"162,775",0.57,"206,752",0.73,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,42,1104
其他非流動負債,"10,603",0.04,"9,349",0.03,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,43,1104
非流動負債合計,"1,418,554",4.96,"1,521,161",5.41,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,44,1104
負債總額,"5,026,395",17.59,"6,059,318",21.54,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,45,1104
歸屬於母公司業主之權益,,,,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,46,1104
股本,,,,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,47,1104
普通股股本,"6,732,175",23.56,"6,536,092",23.23,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,48,1104
股本合計,"6,732,175",23.56,"6,536,092",23.23,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,49,1104
資本公積,,,,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,50,1104
資本公積合計,"123,719",0.43,"123,499",0.44,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,51,1104
保留盈餘,,,,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,52,1104
法定盈餘公積,"2,920,126",10.22,"2,715,883",9.65,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,53,1104
特別盈餘公積,"3,185,793",11.15,"3,185,793",11.32,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,54,1104
未分配盈餘（或待彌補虧損）,"8,347,959",29.22,"7,644,970",27.17,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,55,1104
保留盈餘合計,"14,453,878",50.58,"13,546,646",48.15,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,56,1104
其他權益,,,,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,57,1104
其他權益合計,"1,450,791",5.08,"1,253,311",4.45,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,58,1104
歸屬於母公司業主之權益合計,"22,760,563",79.66,"21,459,548",76.27,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,59,1104
非控制權益,"786,501",2.75,"615,992",2.19,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,60,1104
權益總額,"23,547,064",82.41,"22,075,540",78.46,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,61,1104
負債及權益總計,"28,573,459",100.00,"28,134,858",100.00,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,62,1104
預收股款（權益項下）之約當發行股數（單位：股）,0,,0,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,63,1104
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0,,0,,BalanceSheet,7568009,環球水泥股份有限公司,2024-07-13,64,1104
流動資產,,,,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,1,1201
現金及約當現金,"1,255,845",7.05,"1,977,634",10.55,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,2,1201
透過損益按公允價值衡量之金融資產－流動,"283,845",1.59,"115,161",0.61,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,3,1201
應收票據淨額,"25,958",0.15,"15,561",0.08,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,4,1201
應收帳款淨額,"2,442,168",13.71,"2,262,385",12.06,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,5,1201
應收帳款－關係人淨額,"153,226",0.86,"189,421",1.01,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,6,1201
其他應收款淨額,"73,048",0.41,"385,537",2.06,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,7,1201
本期所得稅資產,"16,209",0.09,"25,523",0.14,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,8,1201
存貨,"1,826,184",10.25,"1,649,218",8.79,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,9,1201
預付款項,"400,218",2.25,"567,252",3.02,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,10,1201
其他流動資產,"16,623",0.09,"10,680",0.06,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,11,1201
流動資產合計,"6,493,324",36.46,"7,198,372",38.38,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,12,1201
非流動資產,,,,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,13,1201
透過損益按公允價值衡量之金融資產－非流動,"23,452",0.13,"23,452",0.13,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,14,1201
按攤銷後成本衡量之金融資產－非流動,"8,000",0.04,"8,000",0.04,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,15,1201
採用權益法之投資,"15,844",0.09,"16,188",0.09,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,16,1201
不動產、廠房及設備,"8,620,785",48.41,"8,869,290",47.29,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,17,1201
使用權資產,"819,940",4.60,"780,507",4.16,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,18,1201
投資性不動產淨額,"210,265",1.18,"215,682",1.15,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,19,1201
無形資產,"221,663",1.24,"212,534",1.13,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,20,1201
生物資產－非流動,"139,119",0.78,"146,755",0.78,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,21,1201
遞延所得稅資產,"1,119,174",6.28,"1,177,943",6.28,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,22,1201
其他非流動資產,"137,826",0.77,"104,422",0.56,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,23,1201
非流動資產合計,"11,316,068",63.54,"11,554,773",61.62,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,24,1201
資產總額,"17,809,392",100.00,"18,753,145",100.00,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,25,1201
流動負債,,,,,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,26,1201
短期借款,"2,606,542",14.64,"3,009,397",16.05,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,27,1201
應付短期票券,"7,993",0.04,"414,645",2.21,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,28,1201
合約負債－流動,"87,901",0.49,"98,248",0.52,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,29,1201
應付票據,205,0.00,28,0.00,BalanceSheet,11347802,味全食品工業股份有限公司,2024-07-13,30,1201
